case_id	typed_key_codes	typed_key_strings	corrected_key_codes	corrected_key_strings	operation	confidence	behavior	stratum	note
KE000075	xcu	さそな	xcy	さそん	neighbor	medium	suggest	length=short;position=final;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000076	u./	なるめ	i./	にるめ	neighbor	medium	suggest	length=short;position=initial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000077	i67	におや	u67	なおや	neighbor	medium	suggest	length=short;position=medial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000078	qwo	たてら	qwi	たてに	neighbor	medium	suggest	length=short;position=final;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000079	oio	らにら	pio	せにら	neighbor	medium	suggest	length=short;position=initial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000080	pgh	せきく	ogh	らきく	neighbor	medium	suggest	length=short;position=medial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000081	]zxp	むつさせ	]zx@	むつさ゛	neighbor	medium	suggest	length=medium;position=final;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000082	@m,.	゛もねる	pm,.	せもねる	neighbor	medium	suggest	length=medium;position=initial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000083	3[46	あ゜うお	3@46	あ゛うお	neighbor	medium	suggest	length=medium;position=medial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000084	-^qs	ほへたと	-^qa	ほへたち	neighbor	medium	suggest	length=medium;position=final;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000085	syui	とんなに	dyui	しんなに	neighbor	medium	suggest	length=medium;position=initial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000086	ddfg	ししはき	dsfg	しとはき	neighbor	medium	suggest	length=medium;position=medial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000087	;:]f	れけむは	;:]d	れけむし	neighbor	medium	suggest	length=medium;position=final;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000088	fbnm	はこみも	gbnm	きこみも	neighbor	medium	suggest	length=medium;position=initial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000089	1g23	ぬきふあ	1f23	ぬはふあ	neighbor	medium	suggest	length=medium;position=medial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000090	90-g	よわほき	90-h	よわほく	neighbor	medium	suggest	length=medium;position=final;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000091	hrty	くすかん	grty	きすかん	neighbor	medium	suggest	length=medium;position=initial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000092	ahsd	ちくとし	ajsd	ちまとし	neighbor	medium	suggest	length=medium;position=medial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000093	kl;j	のりれま	kl;h	のりれく	neighbor	medium	suggest	length=medium;position=final;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000094	kcvb	のそひこ	jcvb	まそひこ	neighbor	medium	suggest	length=medium;position=initial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000095	/k_1	めのろぬ	/l_1	めりろぬ	neighbor	medium	suggest	length=medium;position=medial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000096	789l	やゆより	789k	やゆよの	neighbor	medium	suggest	length=medium;position=final;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000097	lwer	りていす	;wer	れていす	neighbor	medium	suggest	length=medium;position=initial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000098	o;pa	られせち	olpa	らりせち	neighbor	medium	suggest	length=medium;position=medial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000099	hjk;	くまのれ	hjk:	くまのけ	neighbor	medium	suggest	length=medium;position=final;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000100	:zxc	けつさそ	;zxc	れつさそ	neighbor	medium	suggest	length=medium;position=initial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
